S2 LUI Lua binding table -- g_luiLuaBindings @ IDA 0x00B37F30, 664 entries
luaL_Reg {const char* name, lua_CFunction fn}, 16-byte stride.
Self-naming: name and pointer in the same record, so every name is PROVEN.

IsPCApp                                            0x001156C0
IsPCDesktop                                        0x001156E0
CorruptSaveGame                                    0x00115700
CanResumeGame                                      0x00115720
GetIString                                         0x00115740
IsItemUnlocked                                     0x001158D0
IsGuidUnlocked                                     0x001159C0
SetUI3DWindows                                     0x00115AB0
GetUI3DWindowAspectRatio                           0x00115D20
LUICoordsFromUI3DCoords                            0x00115DA0
AnyLocalClientConnectionActive                     0x001161A0
AllLocalClientsInactive                            0x001161E0
GetSignedInAsController                            0x00115F00
GetFirstActiveController                           0x00115F90
MakeLocalClientActive                              0x00116000
MakeLocalClientInactive                            0x001160A0
HasActiveLocalClient                               0x00116230
IsActiveLocalClientPrimary                         0x00116300
GetMaxControllerCount                              0x001163E0
GetAttachedControllerCount                         0x00116430
InFrontend                                         0x001164B0
InLobby                                            0x00116580
HasSnapshot                                        0x001165C0
IsDevelopmentBuild                                 0x00117FA0
IsDemoBuild                                        0x00117FC0
FatalError                                         0x00117FE0
IsWaitingForOnlineServices                         0x00117FF0
IsWaitingForParentalControlInfo                    0x00118080
AntiCheatBanCheck                                  0x001180F0
CacheUserDataForController                         0x001181B0
IsScreenKeyboardOpen                               0x00118210
OpenScreenKeyboard                                 0x00118390
CloseScreenKeyboard                                0x001188B0
IsProfanity                                        0x00118950
TriggerVirtualKeyboardCallback                     0x00118A90
Quit                                               0x00118D30
UserGroupsAllowed                                  0x00118D40
CollectGarbage                                     0x00118DD0
IsUsingExplicitDeletes                             0x00118DE0
SetUsingScrollbar                                  0x00118E00
GetKeyBindingLocalizedString                       0x00118F10
GetDisplayHeight                                   0x001190B0
GetDisplayWidth                                    0x001190E0
GetWindowHeight                                    0x00119110
GetWindowWidth                                     0x00119200
GetFovList                                         0x00119230
GetMaterialAspectRatio                             0x00119360
BindKey                                            0x001193E0
GetBindingForExecution                             0x00119470
GetBindingForModification                          0x00119520
SetRecommended                                     0x001195D0
DepthFromViewZ                                     0x0011C230
DepthFromClipPlane                                 0x0011C390
GetWeaponStartAmmo                                 0x0011C440
GetWeaponClipSize                                  0x0011C530
GetWeaponDamage                                    0x0011C620
GetWeaponDisplayName                               0x0011C8A0
GetWeaponFireTime                                  0x0011C980
GetWeaponHeadshotMultiplier                        0x0011CA70
GetOffhandWeaponClipSize                           0x0011CB40
GetItemLockState                                   0x0011D620
GetItemLockStateByItemRef                          0x0011D790
LookupStatsTableColumnForGUID                      0x0011D3E0
LookupCostumeTableColumnForGUID                    0x0011D4D0
GetWeaponVariantGUIDsFromReference                 0x0011CC10
GetItemGUIDFromReference                           0x0011CD20
GetItemReferenceFromGUID                           0x0011CDB0
GetBaseWeaponGuid                                  0x0011CE70
GetBaseVariantWeaponGuid                           0x0011CEE0
IsGuidAWeapon                                      0x0011CF50
GetBaseCostumeGuid                                 0x0011CFB0
IsGuidACostume                                     0x0011D020
GetUniformParts                                    0x0011D200
GetPackageIdFromGuid                               0x0011D370
Inventory_GetAllWeaponParts                        0x0011D910
Inventory_GetAllWeaponConditions                   0x0011DA00
Inventory_PlayerHasPartsForWeapon                  0x0011DAF0
Inventory_ForgeWeapon                              0x0011DC00
Inventory_GetCraftedWeaponContent                  0x0011DD60
Inventory_GetItemQuantity                          0x0011DEB0
Inventory_GetAllItems                              0x0011DF90
Inventory_GetArmoryItems                           0x0011E210
Inventory_ClearNewFlag                             0x0011E4F0
Inventory_GetNewItems                              0x0011E590
Inventory_GetItemRarity                            0x0011E6B0
Inventory_GetItemCondition                         0x0011E810
Inventory_IsPawnableItem                           0x0011E8A0
Inventory_GetItemPawnValue                         0x0011E9E0
Inventory_GetCachedCollectionItemSkuPrice          0x0011E920
Inventory_ConvertItemToXP                          0x0011EA90
Inventory_ConvertItemToArmoryCredit                0x0011EC10
Inventory_ConvertItemToSocialScore                 0x0011EDA0
Inventory_PawnDuplicates                           0x0011EF30
Inventory_PawnAllDuplicates                        0x0011F010
Inventory_ConsumeItem                              0x0011F090
Inventory_GetItemExpirationType                    0x0011F240
Inventory_GetItemExpiryDuration                    0x0011F380
Inventory_GetItemExpirationDateTime                0x0011F470
Inventory_GetVoucherItems                          0x0011F560
Inventory_RedeemVoucherItem                        0x0011F6A0
Inventory_IsDefaultItem                            0x0011F810
